text,risk_category,risk_severity
You can limit how your information is used by third-parties and the service,Personal data usage,none
This service may use your personal information for marketing purposes,Personal data usage,medium
The service uses social media cookies/pixels,Personal data usage,medium
The service provides information about how they intend to use your personal data,Personal data usage,none
This service collects your IP address for location use,Personal data usage,low
You can opt out of promotional communications,Personal data usage,none
This service can share your personal information to third parties,Third party dependency risk,medium
The service provides information about how they collect personal data,Personal data usage,none
The service reviews its privacy policy on a regular basis,Policy change risk,none
The service will only respond to government requests that are reasonable,Rule usage enforcement,none
This service receives your location through GPS coordinates,Personal data usage,medium
Your profile is combined across various products,Personal data usage,medium
The service provides details about what kinds of personal information they collect,Personal data usage,none
This service employs separate policies for different parts of the service,Policy change risk,low
This service is only available to users over a certain age,Access restriction,low
Users agree not to use the service for illegal purposes,Account responsibility,low
"Instead of asking directly, this Service will assume your consent merely from your usage.",Rule usage enforcement,medium
This service does not force users into binding arbitration,Legal remedy limitation,none
Any liability on behalf of the service is limited to $10 000,Legal remedy limitation,medium
You waive your right to a class action.,Legal remedy limitation,medium
This service can use your content for all their existing and future services,Future scope expansion,low
You maintain ownership of your content,User content rights risk,none
You waive your moral rights,Irrevocable rights,high
You must create an account to use this service,Account responsibility,low
"Certain features maybe unavailable, depending on when you opened an account",Access restriction,low
Your information is only shared with third parties when given specific consent,Third party dependency risk,none
Your account can be closed for several reasons,Account termination risk,low
"You will be notified about discontinuation of service(s), unless not possible",Change of service risk,none
Two months of notice are given before closing your account,Account termination risk,none
Your data may be processed and stored anywhere in the world,Jurisdiction risk,medium
You must provide your identifiable information,Account responsibility,medium
"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",Policy change risk,none
Blocking cookies may limit your ability to use the service,Access restriction,low
Third parties may be involved in operating the service,Third party dependency risk,low
Your biometric data is collected,Personal data usage,medium
The service uses your personal data to employ targeted third-party advertising,Personal data usage,medium
You can request access and deletion of personal data,Personal data usage,none
This service gathers information about you through third parties,Third party dependency risk,medium
The service collects many different types of personal data,Personal data usage,medium
This service may keep personal data after a request for erasure for business interests or legal obligations,Personal data usage,medium
This service still tracks you even if you opted out from tracking,Personal data usage,high
The terms for this service are easy to read and include plain language summaries,Policy change risk,none
This service is only available to users of a certain age,Access restriction,low
Users agree to comply with the law of the service's country,Jurisdiction risk,low
They may stop providing the service at any time,Change of service risk,low
The service warns you of the potential consequences related to third-party access,Third party dependency risk,none
This service forces users into binding arbitration in the case of disputes,Legal remedy limitation,medium
You cannot distribute or disclose your account to third parties,Account responsibility,low
"You agree not to submit libelous, harassing or threatening content",Account responsibility,low
Sensitive data is collected and shared to target advertising,Personal data usage,high
Your personal data is not sold,Personal data usage,none
This service informs you that its Terms of Service does not apply to third party websites,Third party dependency risk,low
You are forced into binding arbitration in case of disputes,Legal remedy limitation,medium
This service gives your personal data to third parties involved in its operation,Third party dependency risk,medium
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Personal data usage,medium
This service reserves the right to disclose your personal information without notifying you,Personal data usage,medium
Information is provided about how they collect personal data,Personal data usage,none
"Terms may be changed any time at their discretion, without notice to you",Policy change risk,medium
Information is gathered about you through third parties,Third party dependency risk,medium
This service tracks you on other websites,Personal data usage,medium
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",Personal data usage,medium
Some personal data may be kept for business interests or legal obligations,Personal data usage,medium
"Your IP address is collected, which can be used to view your approximate location",Personal data usage,low
Your personal information is used for many different purposes,Personal data usage,medium
"You should revisit the terms periodically, although in case of material changes, the service will notify",Policy change risk,low
Your content can be licensed to third parties,Third party dependency risk,medium
Your use is throttled,Access restriction,medium
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",User content rights risk,none
"If you are the target of a copyright claim, your content may be removed",User content rights risk,low
The service is provided 'as is' and to be used at your sole risk,Data security and Liability,low
This service does not guarantee that it or the products obtained through it meet your expectations or requirements,Data security and Liability,low
Your content can be distributed through any media,User content rights risk,low
The service has non-exclusive use of your content,User content rights risk,none
This service receives your precise location through GPS coordinates,Personal data usage,medium
Instructions are provided on how to submit a copyright claim,User content rights risk,low
This service does not condone any ideas contained in its user-generated contents,Data security and Liability,low
Details are provided about what kind of information they collect,Personal data usage,none
This service shares your personal data with third parties that are not essential to its operation,Third party dependency risk,medium
You are informed about the risk of publishing personal info online,Data security and Liability,none
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",Jurisdiction risk,none
"You must provide your legal name, pseudonyms are not allowed",Account responsibility,medium
Airbnb will continue using anonymized user-generated content even after account deletion,User content rights risk,low
You cannot delete your account of this service,Account termination risk,high
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,Personal data usage,medium
Tracking pixels are used in service-to-user communication,Personal data usage,medium
Users who have been permanently banned from this service are not allowed to re-register under a new account,Account termination risk,low
You are entitled to a refund if certain thresholds or standards are not met by the service,Financial commitment risk,none
You agree not to use the service for illegal purposes,Account responsibility,low
30 days of notice are given before closing your account,Account termination risk,none
Your personal data may be disclosed to comply with government requests without notice to you,Rule usage enforcement,medium
No need to register,Account responsibility,none
Your private content may be accessed by people working for the service,Personal data usage,low
"This service collects your IP address, which can be used to view your approximate location",Personal data usage,low
Users shall not interfere with another person's enjoyment of the service,Account responsibility,medium
The user is informed about security practices,Data security and Liability,none
This service has a no refund policy with some exceptions,Financial commitment risk,low
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages.",Account responsibility,low
Prohibits the posting of pornographic content,Account responsibility,low
This service assumes no liability for unauthorized access to your personal information,Data security and Liability,medium
Features of the website are made available under a free software license,User content rights risk,none
Any liability on behalf of the service is only limited to the fees you paid as a user,Legal remedy limitation,medium
Provides instructions on how to submit a copyright claim,User content rights risk,low
Many third parties are involved in operating the service,Third party dependency risk,medium
The service may use web beacons and device fingerprinting on users.,Personal data usage,medium
You are solely responsible for claims made against the service and agree to indemnify the service.,Data security and Liability,low
The court of law governing the terms is in New Zealand,Jurisdiction risk,low
User accounts can be terminated after having been in breach of the terms of service repeatedly,Account termination risk,none
Copyright license limited for the purposes of that same service,User content rights risk,none
"When the service wants to change its terms, users are notified a week or more in advance.",Policy change risk,none
The service can suspend your account for several reasons,Account termination risk,low
"You can request access, correction and/or deletion of your data",Personal data usage,none
This service prohibits users from attempting to gain unauthorized access to other computer systems,Account responsibility,low
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",User content rights risk,none
Tracking via third-party cookies for advertising,Third party dependency risk,medium
You can retrieve an archive of your data,Personal data usage,none
You are being tracked via social media cookies/pixels,Personal data usage,medium
This service tracks which web page referred you to it,Personal data usage,medium
"You can request access, correction and deletion of your data",Personal data usage,none
The data retention period is kept to the minimum necessary for fulfilling its purposes,Personal data usage,none
Your personal data may be used for marketing purposes,Personal data usage,medium
Your personal data is used to employ targeted third-party advertising,Personal data usage,medium
Your personal data is used for advertising,Personal data usage,medium
"Prices and fees may be changed at any time, without notice to you",Financial commitment risk,medium
Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,Jurisdiction risk,none
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (Belgium),Jurisdiction risk,none
"This service may collect, use, and share location data",Personal data usage,medium
You are not allowed to use a nick name,Account responsibility,low
The copyright license on user data is broader than necessary,User content rights risk,medium
Couchsurfing may share aggregated or anonymized information that does not directly identify you.,Personal data usage,low
This service is only available to users over 18.,Access restriction,low
Prohibits political discussions or campaigning,Account responsibility,low
This service does not allow alternative accounts,Account responsibility,low
Prohibits public posting of private messages,Account responsibility,none
The service can read your private messages,Personal data usage,high
Couchsurfing informs you about the fact that you can disable cookies,Personal data usage,medium
The service can delete specific content without prior notice and without a reason,User content rights risk,high
You cannot blame CouchSurfing for disputes you have with other users,Data security and Liability,low
Couchsurfing becomes the owner of ideas you give them,User content rights risk,medium
Couchsurfing may retain your data after deactivation for legitimate business purposes,Personal data usage,medium
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",Account responsibility,low
You should follow the community guidelines,Account responsibility,low
Couchsurfing may close your account at their sole discretion,Account termination risk,medium
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,Account responsibility,low
"Couchsurfing keeps the license on your content, even after you close your account",Irrevocable rights,medium
This service can license user content to third parties,Third party dependency risk,medium
"When the service wants to make a material change to its terms, users are notified at least 30 days in advance",Policy change risk,none
The service may collect extra data about you through promotions,Personal data usage,medium
The court of law governing the terms is State of California (U.S.),Jurisdiction risk,low
This service keeps a license on user-generated content even after users close their accounts.,Irrevocable rights,medium
Tracking via third-party cookies for purposes including advertising,Third party dependency risk,medium
The service may sell your data unless you opt out,Personal data usage,medium
You can get your data back,Personal data usage,none
Right to leave the service,Account termination risk,none
You maintain ownership of your data,User content rights risk,none
"You are responsible for any risks, damages, or losses that may incur by downloading materials",Data security and Liability,low
You are free to choose your copyright license,User content rights risk,none
Users agree not to submit illegal content,Account responsibility,low
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,Data security and Liability,low
The service can distribute your content through any media known now or in the future,Future scope expansion,low
The service claims to be CCPA compliant for California users,Jurisdiction risk,none
The service uses your personal data for advertising,Personal data usage,medium
The service will not allow third parties to access your personal information without a legal basis,Third party dependency risk,none
The service claims to be GDPR compliant for European users,Jurisdiction risk,none
Pseudonyms are allowed,Account responsibility,none
Usernames can be rejected or changed for any reason,Account responsibility,medium
Minors must have the authorization of their legal guardians to use the service,Access restriction,low
This service uses your personal information for many different purposes,Personal data usage,medium
This service is only available for use individually and non-commercially.,Access restriction,low
This service cannot be held responsible for disputes that you may have with other users,Data security and Liability,low
Users have a reduced time period to take legal action against the service,Legal remedy limitation,medium
Your personal data is given to third parties,Third party dependency risk,medium
The service is not responsible for linked or (clearly) quoted content from third-party content providers,Data security and Liability,low
You are allowed to quote their content with attribution,User content rights risk,low
The terms for this service are easy to read,Policy change risk,none
No logs are being kept,Personal data usage,none
Content is published under a free license instead of a bilateral one,User content rights risk,none
Usernames can be rejected for any reason,Account responsibility,medium
Instagram shares information with many third parties,Third party dependency risk,medium
Your identity is used in ads that are shown to other users,Personal data usage,high
Very broad copyright license on your content,User content rights risk,medium
Instagram Court of law is California,Jurisdiction risk,low
You waive your right to a class action,Legal remedy limitation,medium
Tracking via third-party cookies for other purposes without your consent.,Third party dependency risk,medium
This service can delete your content if you violate the terms,Rule usage enforcement,low
The service provides a free help desk,Change of service risk,none
The service refers users to external documents for more information,Policy change risk,low
You can choose with whom you share content,Personal data usage,none
This service keeps user logs for an undefined period of time,Personal data usage,medium
They store data on you even if you did not interact with the service,Personal data usage,high
This service is a subsidiary of Facebook,Third party dependency risk,low
"Terms may be changed at their discretion, but they will notify you before.",Policy change risk,none
The service informs users about the risk of publishing personal info online,Data security and Liability,none
"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Account responsibility,low
"defend, indemnify, hold harmless; survives termination",Data security and Liability,low
Facebook collects a lot of device information through the Instagram App.,Personal data usage,medium
"Other applicable rules, terms, conditions or guidelines",Rule usage enforcement,low
"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",Policy change risk,low
The service can delete your account without a reason,Account termination risk,medium
The service notice you before closing your account,Account termination risk,none
"Apple.com can suspend the Site whenever they want, for any reason",Change of service risk,low
The service gives 30 days of notice before closing your account,Account termination risk,none
Any liability on behalf of the service is only limited to $ 50.00,Legal remedy limitation,medium
Content you post may be edited by the service for any reason,User content rights risk,high
The service is only available in some countries approved by its government,Access restriction,medium
This service assumes no responsibility and liability for the contents of links to other websites,Data security and Liability,low
"The court of law governing the terms is in Santa Clara County, California",Jurisdiction risk,low
"When the service wants to change its terms, users are notified a month or more in advance",Policy change risk,none
The service can delete specific content without reason and may do it without prior notice,User content rights risk,high
A complaint mechanism is provided for the handling of personal data,Personal data usage,none
"If you offer suggestions to the service, they become the owner of the ideas that you give them",User content rights risk,medium
Information is provided about security practices,Data security and Liability,none
Only temporary session cookies are used,Personal data usage,none
You are not being tracked,Personal data usage,none
Third parties are not allowed to access your personal information without a legal basis,Third party dependency risk,none
This service is only available to users over 13 years of age,Access restriction,low
"The court of law governing the terms is in a jurisdiction (Nevada, USA) that is less friendly to user privacy protection",Jurisdiction risk,medium
Content removal from the service will be fair and proportionate.,User content rights risk,none
Prohibits the publishing of personally identifiable information without the owner’s consent,Account responsibility,none
Any liability on behalf of the service is only limited to the fees you paid as a user or $200,Legal remedy limitation,medium
"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",Policy change risk,none
"Users can scrape the site, as long as it doesn't impact the server too much",Account responsibility,none
Copyright license limited for the purposes of that same service but transferable and sublicenseable,User content rights risk,none
The service allows you to use pseudonyms,Account responsibility,none
"You cannot delete your contributions, but it makes sense for this service",User content rights risk,low
No third-party analytics or tracking platforms are used,Third party dependency risk,none
This service provides information on their security practices regarding passwords,Data security and Liability,none
"Using the service, you acknowledge that reading ToS;DR is in no way a replacement for reading the full terms to which you are bound",Account responsibility,low
"Instead of asking directly, this Service will assume your consent to changes of terms merely from your usage.",Policy change risk,medium
You sign away moral rights,Irrevocable rights,high
Вы соглашаетесь на передачу персональных данных третьим лицам,Third party dependency risk,medium
Вы разрешаете использовать ваши данные для рассылки вам рекламы оператором и третьими лицами,Personal data usage,medium
"Many third parties are involved in operating the service (Google, Stripe, Cloudflare, Zendesk)",Third party dependency risk,medium
Your data is processed and stored in a country that is friendlier to user privacy protection,Jurisdiction risk,none
Extra data may be collected about you through promotions,Personal data usage,medium
This Service provides a list of Third Parties involved in its operation.,Third party dependency risk,none
The service does not guarantee that software errors will be corrected,Data security and Liability,medium
"You are tracked via web beacons, tracking pixels and device fingerprinting",Personal data usage,medium
This service shares your personal data with third parties that are not involved in its operation,Third party dependency risk,medium
A license is kept on user-generated content even after you close your account,Irrevocable rights,medium
User content can be licensed to third parties,Third party dependency risk,medium
Your content can be distributed through any media known now or in the future,Future scope expansion,low
Your Personal data may be sold unless you opt out if you're a California Resident,Personal data usage,medium
The service is transparent regarding government requests or inquiries that may involve user data.,Rule usage enforcement,low
The court of law governing the terms is in location X,Jurisdiction risk,low
"You are tracked via web beacons, tracking pixels, browser fingerprinting and device fingerprinting",Personal data usage,medium
"In some countries, your identity is used in ads that are shown to other users",Personal data usage,high
Your provided identifiable information is actively checked by the service,Account responsibility,medium
Your data is processed and stored in a country that is less friendly to user privacy protection,Jurisdiction risk,medium
"You should revisit the privacy policy periodically, although in case of material changes, the service will notify",Policy change risk,low
"In some countries, this service may collect, use, and share location data",Personal data usage,medium
"In some countries, your profile is combined across various products",Personal data usage,medium
This service tracks you on other websites and apps,Personal data usage,medium
"In some countries, sensitive data is collected and shared to target advertising",Personal data usage,high
The cookies used by this service do not contain information that would personally identify you,Personal data usage,none
You agree to comply with the law of the service's country,Jurisdiction risk,low
The court of law governing the terms is in England,Jurisdiction risk,low
This service takes credit for your content,User content rights risk,medium
"We may gather other information when you visit our Site or other services, or when you view our online ads",Personal data usage,medium
You can delete your content from this service,User content rights risk,none
The service claims to be LGPD compliant for Brazilian users,Jurisdiction risk,none
Your content can be deleted if you violate the terms,Rule usage enforcement,low
This service is only available to users over 18,Access restriction,low
Tracking cookies refused will not limit your ability to use the service,Access restriction,none
This service is only available to users over 13 of age,Access restriction,low
This service employs a broad copyright license over user content including the right to distribute through any media,User content rights risk,low
Spidering or crawling is not allowed,Account responsibility,low
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,Jurisdiction risk,none
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,Personal data usage,none
User suspension from the service will be fair and proportionate.,Account termination risk,none
The service provides a complaint mechanism for the handling of personal data,Personal data usage,none
User logs are deleted after a finite period of time,Personal data usage,none
The service provides a complete list of all cookies set by its website,Personal data usage,none
The court of law governing the terms is in Longgang District in Shenzhen City in the People's Republic of China,Jurisdiction risk,low
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,Jurisdiction risk,medium
Critical changes to the terms are made without user involvement,Policy change risk,low
This service respects your browser's Do Not Track (DNT) headers,Personal data usage,none
This service can view your browser history,Personal data usage,high
You can request deletion of your data,Personal data usage,none
This service may share your personal data with third parties that are not involved in its operation,Third party dependency risk,medium
Promises will be kept after a merger or acquisition,Change of service risk,none
The posting of pornographic content is prohibited,Account responsibility,low
"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",Account responsibility,low
This service only uses temporary session cookies,Personal data usage,none
You have a reduced time period to take legal action against the service,Legal remedy limitation,medium
Logs are kept for an undefined period of time,Personal data usage,medium
only for your individual use,Access restriction,low
Specific content can be deleted without reason and may be removed without prior notice,User content rights risk,high
You are prohibited from attempting to gain unauthorized access to other computer systems,Account responsibility,low
The service suspends your account after inactivity for a certain or uncertain time,Account termination risk,low
"Defend, indemnify, hold harmless; survives termination",Data security and Liability,low
"You aren’t forced into binding arbitration in case of disputes, but only if you opt out",Legal remedy limitation,none
"Third party cookies are employed, but with opt out instructions",Third party dependency risk,medium
This service only shares user information with third parties when given specific consent,Third party dependency risk,none
The service provides two factor authentification for your account,Data security and Liability,none
The service is open-source,Change of service risk,none
Logs are deleted after a finite period of time,Personal data usage,none
Harming minors in any ways is prohibited,Account responsibility,low
You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Account responsibility,low
Your account can be suspended for several reasons,Account termination risk,low
"Per the service's terms, you may not express negative opinions about them",Account responsibility,medium
"The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Texas, USA)",Jurisdiction risk,medium
You aren’t forced into binding arbitration in case of disputes,Legal remedy limitation,none
The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,Rule usage enforcement,none
Only aggregate data is given to third parties,Third party dependency risk,low
This service is only available to users over an age of 13,Access restriction,low
You must be 18 years of age or older to use Talking Friends online store to purchase products (such as toys),Access restriction,low
The court of law governing the terms is in Cyprus,Jurisdiction risk,low
"When the service wants to change its terms, you are notified a week or more in advance.",Policy change risk,none
You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,Data security and Liability,low
Your personal data is not shared with third parties,Third party dependency risk,none
You cannot opt out of promotional communications,Personal data usage,medium
The court of law governing the terms is in Massachusetts,Jurisdiction risk,low
You can opt out of providing personal information to third parties,Third party dependency risk,none
This service is a subsidiary of Microsoft,Third party dependency risk,low
"This service employs third-party cookies, but with opt-out instructions",Third party dependency risk,medium
The service can intervene in user disputes,Rule usage enforcement,low
The service has a no refund policy,Financial commitment risk,low
This service provides archives of their terms of service so that changes can be viewed over time,Policy change risk,none
The service can create derivative works from Your Content and distribute it on any media and/or distribute Your Content on any media,User content rights risk,low
"This service has a no refund policy, except as required by applicable law.",Financial commitment risk,low
A list of all cookies set by the website is provided,Personal data usage,none
Two factor authentication is provided for your account,Data security and Liability,none
Information is provided about what kind of information they collect,Personal data usage,none
This service is only available to users over 16 years old,Access restriction,low
The service will resist legal requests for your information where reasonably possible,Rule usage enforcement,none
Archives of their agreements are provided so that changes can be viewed over time,Policy change risk,none
Any liability on behalf of the service is only limited to the fees you paid as a user or $100,Legal remedy limitation,medium
This service is only available to users over a 13 years of age,Access restriction,low
This service throttles your use,Access restriction,medium
"Per the service's terms, users may not express negative opinions about them",Account responsibility,medium
App required for this service requires broad device permissions,Personal data usage,medium
The services will notify users if personal data has been affected by data breaches,Data security and Liability,none
The service makes critical changes to its terms without user involvement,Policy change risk,low
Users are free to choose the type of copyright license that they want to use over their content,User content rights risk,none
"The court of law governing the terms is in King County, WA, USA.",Jurisdiction risk,low
The court of law governing the terms is in France,Jurisdiction risk,low
"When the service wants to change its terms, users are notified 30 days in advance",Policy change risk,none
This service may force users into binding arbitration in the case of disputes,Legal remedy limitation,medium
"[PrivateBin and Nextcloud] User-generated content is encrypted, and this service cannot decrypt it",Data security and Liability,none
Service can block or censor user communications,User content rights risk,medium
Some personal data may be kept after the end of the data retention period or a request for erasure,Personal data usage,medium
"The court of law governing the terms is in Madrid, Spain",Jurisdiction risk,low
No guarantee is given regarding quality,Data security and Liability,low
This service provides a way for you to export your data,Personal data usage,none
The service does not index or open files that you upload,Personal data usage,none
Prohibits political discussions which are against the government-advocated value,Account responsibility,high
This service reserves the right to edit any content you post,User content rights risk,high
Inconvenient process for obtaining personal data,Personal data usage,medium
"Users are responsible for any risks, damages, or losses they may incur by downloading materials",Data security and Liability,low
This service informs users that its Terms of Service does not apply to third party websites,Third party dependency risk,low
This service provides archives of their Terms of Service so that changes can be viewed over time,Policy change risk,none
The court of law governing the terms is in People's Republic of China,Jurisdiction risk,low
Any liability on behalf of the service is only limited to $10,Legal remedy limitation,medium
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Australia),Jurisdiction risk,medium
Only necessary user logs are kept by the service to ensure quality,Personal data usage,none
"The court of law governing the terms is in location Victoria, Australia",Jurisdiction risk,low
"[TOS] The terms may be changed at any time, but you will receive notification of the changes",Policy change risk,low
"[Customer Agreement] The terms may be changed at any time, but you will receive notification of the changes",Policy change risk,low
Personal data is not shared with third parties,Third party dependency risk,none
This Service does not keep any VPN logs.,Personal data usage,none
An anonymous payment method is offered,Financial commitment risk,none
The court of law governing the terms is in Texas,Jurisdiction risk,low
The service allows you to opt out of providing personal information to third parties,Third party dependency risk,none
Users cannot scrape the website of the service,Account responsibility,low
The service promises to inform and/or notify users regarding government inquiries that may involve users' personal data,Rule usage enforcement,none
This service is only available to users over 13 years old,Access restriction,low
This service is only available to users of 16 years and older,Access restriction,low
This service will warn users about website maintenance,Change of service risk,none
The court of law governing the terms is in location New Zealand,Jurisdiction risk,low
The court of law governing the terms is in the Province of Alberta,Jurisdiction risk,low
User feedback is invited regarding changes to the terms.,Policy change risk,none
You can choose the copyright license,User content rights risk,none
This service is only available to users over 16 years of age,Access restriction,low
You can access most of the pages on the service's website without revealing any personal information,Personal data usage,none
You shall not interfere with another person's enjoyment of the service,Account responsibility,medium
User-generated content can be blocked or censored for any reason,User content rights risk,medium
The court of law governing the terms is in New York state,Jurisdiction risk,low
[Privacy Policy] There is a date of the last update of the agreements,Policy change risk,low
The court of law governing the terms is in Spain,Jurisdiction risk,low
Some personal data may be kept after the end of the data retention period or a request for erasure for business purposes,Personal data usage,medium
Your Personal data may be sold unless you opt out,Personal data usage,medium
The court of law governing the terms is in Finland if you are a resident outside the United States,Jurisdiction risk,low
pseudonym not allowed (user-to-user trust is relevant for service),Account responsibility,low
"This service does not collect, use, or share location data",Personal data usage,none
The court of law governing the terms is in England and Wales,Jurisdiction risk,low
The publishing of personally identifiable information without the owner’s consent is not allowed,Account responsibility,none
You agree to comply with the law of the United States,Jurisdiction risk,low
The email support@wikidot.com can be used to receive support with understanding ToS and/or if what you are about to do is allowed,Change of service risk,none
The court of law governing the terms is in Poland,Jurisdiction risk,low
You can choose with whom you share your email adress,Personal data usage,none
"You cannot delete some of your contributions, but it makes sense for this service",User content rights risk,low
The court of law governing the terms is in Romania,Jurisdiction risk,low
This service offers an anonymous payment method,Financial commitment risk,none
There is a date of the last update of the agreements by Mrinal Saha,Policy change risk,low
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection (Hong Kong).,Jurisdiction risk,medium
The service claims to be LPD compliant for Swiss users,Jurisdiction risk,none
Voice data is collected and shared with third-parties,Personal data usage,medium
The court of law governing the terms is in Bulgaria (BG),Jurisdiction risk,low
This service is only available to users over 18 years old,Access restriction,low
You must provide your identifiable and medical information,Personal data usage,medium
You must comply with laws that affect copyright and trademarks that apply to your location,Account responsibility,low
This service will give information to authorities if an investigation arises,Rule usage enforcement,none
The website are made available under a free software license,User content rights risk,none
Political discussions or campaining are prohibited,Account responsibility,low
Blocking first party cookies limits your ability to use some of the service,Access restriction,low
You can opt out of targeted advertising if you are in the European Economic Area (EEA),Personal data usage,none
"Spidering, crawling, or accessing the site through any automated means is not allowed except with permission",Account responsibility,low
"The court of law governing the terms is in the State of Utah, USA",Jurisdiction risk,low
"The court of law governing the terms is in Georgia, USA.",Jurisdiction risk,low
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (Switzerland).,Jurisdiction risk,none
Google Analytics is used for statistics,Third party dependency risk,medium
"Date of the last update of the agreements : April 21, 2017",Policy change risk,low
Google Analytics is used for statistics on their website,Third party dependency risk,medium
SmartThings uses your personal data for advertising,Personal data usage,medium
SmartThings collects many different types of personal data,Personal data usage,medium
SmartThings is only available for use individually and non-commercially.,Access restriction,low
