text,label,explanation,__index_level_0__
Private messages can be read,clearly_unfair,"The Service is able to access, scan, review or read all user communications, including private messages, which may contain personal or sensitive data.",37
Third-party cookies are used for advertising,potentially_unfair,The service's website sets third-party cookies (cookies that do not belong to their domain) for purposes not including statistics and analytics.,38
Many different types of personal data are collected,potentially_unfair,"The service collects different kinds of personal data, such as name, demographic information, postal address, biometric data, device information, IDs, contacts, call logs...",39
There is a date of the last update of the agreements,potentially_fair,The given text has a date that allows to know when it was last updated.,40
Third-party cookies are used for statistics,potentially_unfair,"For instance, Google Analytics, rather than self-hosted (first-party) statistics software.",41
You must report to the service any unauthorized use of your account or any breach of security,potentially_fair,The service asks the user to notify them immediately of any unauthorized use or security breaches.,43
"Spidering, crawling, or accessing the site through any automated means is not allowed",potentially_fair,,44
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,potentially_unfair,"If the service gets acquired or is involved in a merger, bankruptcy, reorganisation or sale, your personal data may be transferred or sold.",45
You authorise the service to charge a credit card supplied on re-occurring basis,potentially_fair,"You card will be billed on recurring basis unless cancelled. For instance, monthly or annual subscriptions.",46
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",potentially_fair,,47
Your account can be deleted without prior notice and without a reason,potentially_unfair,"At any time, your account can be terminated without explanation and without warning by the service. ",48
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,potentially_fair,"Even though the Do Not Track (DNT) header was not implemented perfectly, services should not track users whose browsers send a DNT header.",49
" Terms may be changed any time at their discretion, without notice to the user ",potentially_unfair,"The Agreements can be updated at any time, including in a way that negatively affects user rights, without notifying before or after the changes.",51
This service allows you to retrieve an archive of your data,clearly_fair,Users can request a copy of the data collected through the services and infer from it the amount of personal information that is processed and stored by the Service. This usually applies to Services GDPR compliants.,52
"The service may change its terms at any time, but the user will receive notification of the changes.",potentially_fair,"The Terms may be updated without prior notice, but users will be notified of the changes at the moment they will start applying.",55
This service requires first-party cookies,potentially_fair,First-party cookies only belong to the domain of the service and not a third party.,56
This service holds onto content that you've deleted,clearly_unfair,"Content may remain in backup servers and be retained after deletion, and thus never be completely deleted. This case doesn't apply to contributions that can't be removed due to the nature of the service.",57
The service informs users that its privacy policy does not apply to third party websites,potentially_fair,"The service states that whenever it links to third party websites or applications, its privacy policy does not apply. Those third party websites or applications hosted or operated by other organizations may have their own privacy policies.",58
Third parties used by the service are bound by confidentiality obligations,clearly_fair,The Third Parties accessing your personal information must keep it confidential and only use it for limited purposes.,59
You can limit how your information is used by third-parties and the service,clearly_fair,Usually it's related to the right to object to data processing or restrict it under the GDPR. Users may be able to refuse the use of their data for marketing purposes for instance.,60
This service may use your personal information for marketing purposes,potentially_unfair,"The service may use your personal data for marketing, such as sending you personalised offerings.",61
The service uses social media cookies/pixels,potentially_unfair,These types of cookies/pixels send information to social media sites when you interact with the service.,62
The service provides information about how they intend to use your personal data,clearly_fair,"The Privacy Policy explains the purposes for which data is collected and the way it is processed, used and shared.",64
This service collects your IP address for location use,potentially_fair,,65
You can opt out of promotional communications,clearly_fair,You can update your account preferences and/or easily unsubscribe of email/sms lists to stop receiving promotional communications.,66
This service can share your personal information to third parties ,potentially_unfair,Your personal data is or may be given to third parties nonessential to the service’s operation. This could be a business partner that receives your data to provide targeted advertisements.,67
The service provides information about how they collect personal data,clearly_fair,The service details situations in which they collect personal information or means by which they do.,68
The service reviews its privacy policy on a regular basis,clearly_fair,Users know the date the privacy policy was last updated and can thus infer the next time it will be reviewed. This gives users more certainty about how long they can trust the current policy to apply.,69
The service will only respond to government requests that are reasonable,clearly_fair, The Agreement explains they will disclose personal data about you if it is reasonably necessary to comply with applicable law and government requests.,70
This service receives your location through GPS coordinates,potentially_unfair,"Unless the service relies on Geo Location, this case is to be assigned to points that don't need your GPS coordinates to function properly.",71
Your profile is combined across various products,potentially_unfair,"When using multiple services from one same company, they can combine these (unrelated) information sources about you to build up a single richer user profile about you.",72
The service provides details about what kinds of personal information they collect,clearly_fair,The Privacy Policy describes in detail the data collected through the website and through the services provided.,73
This service employs separate policies for different parts of the service,potentially_fair,The user may need to read additional product-specific agreements depending on the way the service is used.,74
This service is only available to users over a certain age,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,75
Users agree not to use the service for illegal purposes,potentially_fair,"The user agrees not to commit any unlawful acts through the use of the website, including the posting of illegal content or messaging.",76
"Instead of asking directly, this Service will assume your consent merely from your usage.",potentially_unfair,"The Service infers your acceptance from your continued usage, instead of prompting you to read the new Terms and asking for direct consent. This doesn’t apply to services that have no way to seek consent from users through their contact details or an account.",77
This service does not force users into binding arbitration,clearly_fair,"Binding Arbitration is a dispute resolution method involving a neutral third party which will render a decision instead of going to court. Since the arbitrator can decide the outgoing of a dispute without evidences or a legal basis, it is preferable that users decide whether they want or not their dispute to be resolved this way.",78
Any liability on behalf of the service is limited to $10 000,potentially_unfair,,79
You waive your right to a class action.,potentially_unfair,"The right to be represented in a class action (or representative action) exists in the US and some European countries. It allows people who have been similarly injured by the same accused to take legal action by a single lawsuit instead of individually. Some Terms of Service try to limit that right. By agreeing to them, you could waive (= renounce to) your right to a class action, which might reduce your chances to be successful in a case.",80
This service can use your content for all their existing and future services,potentially_fair,,81
You maintain ownership of your content,clearly_fair,"This service does not claim ownership over user-generated content or materials, and the user doesn't need to waive any moral rights by posting owned content.",82
You waive your moral rights,clearly_unfair,"Moral rights are rights to creators of literary, dramatic, musical and artistic works, as well as directors of films.

""The moral rights include the right of attribution, the right to have a work published anonymously or pseudonymously, and the right to the integrity of the work. The preserving of the integrity of the work allows the author to object to alteration, distortion, or mutilation of the work that is ""prejudicial to the author's honor or reputation"". Anything else that may detract from the artist's relationship with the work even after it leaves the artist's possession or ownership may bring these moral rights into play. Moral rights are distinct from any economic rights tied to copyrights. Even if an artist has assigned his or her copyright rights to a work to a third party, he or she still maintains the moral rights to the work."" -Wikipedia

In general, any terms that use the exact words ""moral rights"" as rights that are waived will fall under this Case.",83
You must create an account to use this service,potentially_fair,You must provide the service with your information in order to use it,86
"Certain features maybe unavailable, depending on when you opened an account",potentially_fair,"Use of the service is subject also to an exhaustive list of other documents containing rules, guidelines, terms or policies (in addition to the obvious Terms of Service/Terms of Use and Privacy Policy/Data Use Policy)",87
Your information is only shared with third parties when given specific consent,clearly_fair,The service does not share user information with any third parties unless users specifically give it permission to do so.,88
Your account can be closed for several reasons,potentially_fair,,89
"You will be notified about discontinuation of service(s), unless not possible",clearly_fair,Users will be notified before their experience is impacted due to website maintenance.,90
Two months of notice are given before closing your account,clearly_fair,"The Terms explain they will notify users at least 30 days before closing their accounts, which allows users to limit the losses and damages caused by this termination.",91
Your data may be processed and stored anywhere in the world,potentially_unfair,"Your data is stored all over the world, including in countries where data protection rules may differ from the ones of the service's jurisdiction or those of your country jurisdiction.",93
You must provide your identifiable information,potentially_unfair,"The Service requires users to provide their identifiable information, including phone number, iD number or other information, even though this data collection isn’t essential for the purposes of the service. They may still allow pseudonyms in the foreground.",94
"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",clearly_fair,"The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified at least 30 days in advance.",95
Blocking cookies may limit your ability to use the service,potentially_fair,"Most browsers allow users to set preferences related to cookies storage. You may choose to block all cookies (including first-party cookies), but it may impact your use of this service and you may not be able to access some or any of the features provided.",99
Third parties may be involved in operating the service,potentially_fair,,100
Your biometric data is collected,potentially_unfair,"This service can collect or use your biometric data. This includes but is not limited to facial recognition, fingerprints, and iris scans. Although this feature can sometimes be convenient to the user, providing this type of information to the service could open your personal data to being sold or stolen.",101
The service uses your personal data to employ targeted third-party advertising,potentially_unfair,"Your Personal Information is traded and shared with advertising companies to target ads on you, either on the website you were visiting or in third party websites. Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile.",102
You can request access and deletion of personal data,clearly_fair,"Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants. ",103
This service gathers information about you through third parties,potentially_unfair,"This Service may employ, either identifiable or non-identifiable, data collection from third party sources about you.",105
The service collects many different types of personal data,potentially_unfair,"The service collects different kinds of personal data, such as name, demographic information, postal address, biometric data, device information, IDs, contacts, call logs...",106
This service may keep personal data after a request for erasure for business interests or legal obligations,potentially_unfair,"After the end of the data retention period and/or if you request the deletion of your data, they may still keep it for business interests (fraud detection, transactions...) or legal obligations (tax, legal reporting...)",107
This service still tracks you even if you opted out from tracking,clearly_unfair,"Users can’t fully opt out of tracking technologies used for non essential purposes such as advertising, marketing or analytics. The user may be asked for consent for installing some tracking technologies on the device, and even if all are rejected the service will still track its visitors and ignore the choice.This case doesn’t apply to functional cookies that are necessary to provide the services.",109
The terms for this service are easy to read and include plain language summaries,clearly_fair,"The Agreements are well-organised, define legal terms (where applicable), aren't needlessly long and may be pleasant to read.",111
This service is only available to users of a certain age,potentially_fair,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,112
Users agree to comply with the law of the service's country,potentially_fair,"By using the service, you agree to comply with the applicable laws of the service's jurisdiction, regardless of your location.",113
They may stop providing the service at any time,potentially_fair,"They may discontinue the services without prior notice, at any time, for any or no reason. They usually assume no liability for losses and damages resulting from this suspension.",114
The service warns you of the potential consequences related to third-party access,clearly_fair,"This is different from disclaiming liability for external links, which is handled by the ""This service assumes no responsibility and liability for the contents of links to other websites"" case.",116
This service forces users into binding arbitration in the case of disputes,potentially_unfair,This service forces users to use their own contracted arbitrator and forces users to waive their rights to jury trial.,118
You cannot distribute or disclose your account to third parties,potentially_fair,"In this context third-parties refers to anyone including friends, family, or company ",119
"You agree not to submit libelous, harassing or threatening content",potentially_fair,"This service prohibits users from submitting content of a variety of types. This can include content that is unlawful, harassing, abusive, threatening, libelous, sexist, racist, homophobic, transphobic, or discriminatory in any other way.",120
Sensitive data is collected and shared to target advertising,clearly_unfair,"Sensitive data refers to information requiring special protection, such as health data, political and religious beliefs, ethnic origins, sexual life and financial information. The service collects and shares this data with third parties for advertising or marketing.",121
Your personal data is not sold,clearly_fair,"This service makes an explicit promise not to sell ""personal data"" of users.",122
This service informs you that its Terms of Service does not apply to third party websites,potentially_fair,"The service states that whenever it links to third party websites or applications, its Terms of Service does not apply. Those third party websites or applications hosted or operated by other organizations may have their Terms of Service.",123
You are forced into binding arbitration in case of disputes,potentially_unfair,This service forces users to use their own contracted arbitrator and forces users to waive their rights to jury trial.,125
This service gives your personal data to third parties involved in its operation,potentially_unfair,Your personal data is or may be given to third parties essential to the service’s operation. This could be an external spam detection service for an internet forum.,126
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",potentially_unfair,"Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",127
This service reserves the right to disclose your personal information without notifying you,potentially_unfair,"If the Government governing the Terms requests personal data of a user of this service, they may not inform/notify the user while complying with the request.",128
Information is provided about how they collect personal data,clearly_fair,The service details situations in which they collect personal information or means by which they do.,129
" Terms may be changed any time at their discretion, without notice to you ",potentially_unfair,"The Agreements can be updated at any time, including in a way that negatively affects user rights, without notifying before or after the changes.",131
Information is gathered about you through third parties,potentially_unfair,"This Service may employ, either identifiable or non-identifiable, data collection from third party sources about you.",132
This service tracks you on other websites,potentially_unfair,"The service may use tracking technologies in third-party websites to track your online activity while you aren't visiting their Site.
",134
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",potentially_unfair,"The data retention period states how long a service keeps user data. In this case, the service may anonymize the personal data after its retention period is over and use it for analytical or research purposes.",135
Some personal data may be kept for business interests or legal obligations,potentially_unfair,"After the end of the data retention period and/or if you request the deletion of your data, they may still keep it for business interests (fraud detection, transactions...) or legal obligations (tax, legal reporting...)",136
"Your IP address is collected, which can be used to view your approximate location",potentially_fair,,140
Your personal information is used for many different purposes,potentially_unfair,"Personal Data can be processed for many reasons, including non essential processing such as for advertising, marketing and analytics purposes.",141
"You should revisit the terms periodically, although in case of material changes, the service will notify",potentially_fair,"The service may update the Terms without notice, but if they significantly change the agreements in a manner that importantly and/or negatively affects the way the service is used, users will be notified.",144
Your content can be licensed to third parties,potentially_unfair,"By posting content through the Services, users grant them a transferable and/or sublicensable right, which allows user content to be licensed to third parties.",145
Your use is throttled,potentially_unfair,"The service may impose limits or restrictions to the use of the service, thus negatively impacting users experience. They may do so without reason or prior notice.",146
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",clearly_fair,"The service may employ a broad copyright license over feedback, proposals, ideas and suggestions submitted, including the right to use them without restriction, compensation or obligation to the user, but they do not claim ownership on them.",147
"If you are the target of a copyright claim, your content may be removed",potentially_fair,The content you have published on the service may be removed if it infringes copyright.,152
The service is provided 'as is' and to be used at your sole risk,potentially_fair,"This service does not provide any guarantees as to its usability or fitness for the users' purposes. Users agree to use it at their own risk, accepting any possible bugs, malfunctions or harm to their devices.",153
This service does not guarantee that it or the products obtained through it meet your expectations or requirements,potentially_fair,"This service provider informs its users that the services, information, products, or other materials provided on its website may not meet the users' expectations or requirements.",154
Your content can be distributed through any media ,potentially_fair,,156
The service has non-exclusive use of your content,clearly_fair,The service can pay for your content and you are allowed to make it commercially available to other services/parties. ,157
This service receives your precise location through GPS coordinates,potentially_unfair,"Unless the service relies on Geo Location, this case is to be assigned to points that don't need your GPS coordinates to function properly.",158
Instructions are provided on how to submit a copyright claim,potentially_fair,"If content that you own is copied or made accessible through the service in a way that constitutes an intellectual property right infringement, you can report it following the instructions given in the agreements. ",160
This service does not condone any ideas contained in its user-generated contents,potentially_fair,,165
Details are provided about what kind of information they collect,clearly_fair,The Privacy Policy describes in detail the data collected through the website and through the services provided.,168
This service shares your personal data with third parties that are not essential to its operation,potentially_unfair,Your personal data is or may be given to third parties nonessential to the service’s operation. This could be a business partner that receives your data to provide targeted advertisements.,170
You are informed about the risk of publishing personal info online,clearly_fair,,174
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",clearly_fair,The Terms are governed by the applicable laws of a jurisdiction known for protecting citizens privacy with strong data regulations. Usually contributors will need to explain in the Analysis view of each point linked to this Case why the jurisdiction is friendly to user privacy protection.,175
"You must provide your legal name, pseudonyms are not allowed",potentially_unfair,You must provide your legal name and pseudonyms aren't allowed. This case doesn't apply to Services for which transparency regarding users identities is relevant for their purposes.,181
Airbnb will continue using anonymized user-generated content even after account deletion,potentially_fair,"If you delete your account or your information from this service, user-generated content such as comments and posts will remain and still be used, but on a pseudonymized or anonymized form so that they can't be linked back to you.",183
You cannot delete your account of this service,clearly_unfair,"There is no way of deleting your account, which implies that data might be stored forever.",185
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,potentially_unfair,"If the service gets acquired or is involved in a merger, bankruptcy, reorganisation or sale, your personal data may be transferred or sold.",186
Tracking pixels are used in service-to-user communication,potentially_unfair,"The service tracks the user count or some actions of the user; this is usually used for statistics. For example, emails sent by a service can contain a pixel tag, which is a small, clear image that can tell them whether or not you have opened an email and what your IP address is.",187
Users who have been permanently banned from this service are not allowed to re-register under a new account,potentially_fair,"Once users have been permanently banned from this service, they are not allowed to create a new account to keep using the service.",190
You are entitled to a refund if certain thresholds or standards are not met by the service,clearly_fair,,191
You agree not to use the service for illegal purposes,potentially_fair,"The user agrees not to commit any unlawful acts through the use of the website, including the posting of illegal content or messaging.",192
30 days of notice are given before closing your account,clearly_fair,"The Terms explain they will notify users at least 30 days before closing their accounts, which allows users to limit the losses and damages caused by this termination.",193
Your personal data may be disclosed to comply with government requests without notice to you,potentially_unfair,"If the Government governing the Terms requests personal data of a user of this service, they may not inform/notify the user while complying with the request.",198
No need to register,clearly_fair,This service can be used without providing a user profile.,200
Your private content may be accessed by people working for the service,potentially_fair,,202
"This service collects your IP address, which can be used to view your approximate location",potentially_fair,,206
Users shall not interfere with another person's enjoyment of the service,potentially_unfair,"Users are asked not to interfere with another person't enjoyment in using the service.
However, this statement is very vague and open to interpretation by the service itself.",208
The user is informed about security practices,clearly_fair,It's important to know what security measures are taken to protect your data from unauthorized access. This case applies to the Agreements that precisely explain their security practices.,211
This service has a no refund policy with some exceptions,potentially_fair,Payments can be refunded if some requirements are fulfilled.,216
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages.",potentially_fair,"Users are not allowed to use the service for chain letters, junk mail, spamming or any other distribution of content to people who have not agreed to receiving it.",220
Prohibits the posting of pornographic content,potentially_fair,"Users are not allowed to post any content of pornographic nature. This includes adult content, things that are sexually explicit, or obscene.",222
This service assumes no liability for unauthorized access to your personal information,potentially_unfair,,224
Features of the website are made available under a free software license,clearly_fair,"This case applies to services under licenses that are free as in ""freedom"". According to the Free Software Foundation, ""free software is the software that grants the user the freedom to share, study, and modify it"". Furthermore, the code is entirely open source and may be used without any restriction, including for commercial purposes.",225
Any liability on behalf of the service is only limited to the fees you paid as a user,potentially_unfair,,226
Provides instructions on how to submit a copyright claim,potentially_fair,"If content that you own is copied or made accessible through the service in a way that constitutes an intellectual property right infringement, you can report it following the instructions given in the agreements. ",227
Many third parties are involved in operating the service,potentially_unfair,,228
The service may use web beacons and device fingerprinting on users.,potentially_unfair,"Tracking technologies (such as web beacons, tracking pixels...) are employed on users and/or the service assigns a unique ID to a browser or device to track its behaviour.",235
You are solely responsible for claims made against the service and agree to indemnify the service.,potentially_fair,"You are responsible for your use of the service. If a claim arises related to that use, you agree to indemnify and hold the service harmless.
If users are also required to defend the service, see Case 146 instead.",237
The court of law governing the terms is in New Zealand,potentially_fair,"The Terms are governed by the applicable laws of a jurisdiction (specified in the title of each point by replacing the ""X"").",240
User accounts can be terminated after having been in breach of the terms of service repeatedly,clearly_fair,"User accounts can be terminated for having been in breach of the terms of service repeatedly, meaning they cannot be terminated without a reason, but only for a limited number of reasons. Additionally, user accounts will not be deleted after a first infringement.",242
Copyright license limited for the purposes of that same service,clearly_fair,,243
"When the service wants to change its terms, users are notified a week or more in advance.",clearly_fair,"Users will be notified a week before the Terms are somehow updated, which lets them a reasonable amount of time to carefully read the changes and perhaps stop using the services if they do not longer agree.",245
The service can suspend your account for several reasons,potentially_fair,,246
"You can request access, correction and/or deletion of your data",clearly_fair,"Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants. ",247
This service prohibits users from attempting to gain unauthorized access to other computer systems,potentially_fair,The service does not allow any attempts at hacking or otherwise gaining unauthorized access to other users' computers.,248
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",clearly_fair,You have the right to send a counter-notice to the service if you believe the content that was removed wasn't infringing any copyright.,250
Tracking via third-party cookies for advertising,potentially_unfair,The service's website sets third-party cookies (cookies that do not belong to their domain) for purposes not including statistics and analytics.,252
You can retrieve an archive of your data,clearly_fair,Users can request a copy of the data collected through the services and infer from it the amount of personal information that is processed and stored by the Service. This usually applies to Services GDPR compliants.,254
 You are being tracked via social media cookies/pixels,potentially_unfair,These types of cookies/pixels send information to social media sites when you interact with the service.,256
This service tracks which web page referred you to it,potentially_unfair,The service logs the URL of the last web page you visited before visiting the Site and may use that information to gather more data about you.,257
"You can request access, correction and deletion of your data",clearly_fair,"Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants. ",260
The data retention period is kept to the minimum necessary for fulfilling its purposes,clearly_fair,"The service will remove personal data from its systems once it is no longer required. Depending on the type of information and the reason it was collected, data retention periods will vary.",262
Your personal data may be used for marketing purposes,potentially_unfair,"The service may use your personal data for marketing, such as sending you personalised offerings.",263
Your personal data is used to employ targeted third-party advertising,potentially_unfair,"Your Personal Information is traded and shared with advertising companies to target ads on you, either on the website you were visiting or in third party websites. Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile.",266
Your personal data is used for advertising,potentially_unfair,"Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile to target ads on you, either on the website you were visiting or in third party websites.",267
"Prices and fees may be changed at any time, without notice to you",potentially_unfair,"The service reserves the right to change or modify its pricing and fees at any time, and such changes are effective immediately without need for further notice to the user.",270
Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,clearly_fair,"The service has arrangements in place to ensure that users' personal information, if shared with an entity outside of the service's jurisdiction, is processed to the same standards that apply to the processing of personal data in the service's jurisdiction.",275
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (Belgium),clearly_fair,The Terms are governed by the applicable laws of a jurisdiction known for protecting citizens privacy with strong data regulations. Usually contributors will need to explain in the Analysis view of each point linked to this Case why the jurisdiction is friendly to user privacy protection.,278
"This service may collect, use, and share location data",potentially_unfair,Location-based information is collected and may be used and/or shared with third parties for purposes not directly related to the services provided (i.e. the Service doesn't rely on the use or share of location data to function properly).,280
