index,clause_text,risk_type
25,"To the extent permitted by law, we also DISCLAIM ALL WARRANTIES, WHETHER EXPRESS OR IMPLIED, INCLUDING THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, AND NON-INFRINGEMENT.",Data Security and Liability Risk
26,"We do not control or direct what people and others do or say, and we are not responsible for their actions or conduct (whether online or offline) or any content they share.",Data Security and Liability Risk
27,"Our liability shall be limited to the fullest extent permitted by applicable law.",Data Security and Liability Risk
28,"To the fullest extent permitted by applicable law under no circumstance will we be liable to you for any lost profits, revenues, information, or data.",Data Security and Liability Risk
29,"We are not liable for consequential, special, indirect, exemplary, punitive, or incidental damages arising out of or related to these Terms or the Meta Products.",Data Security and Liability Risk
30,"You retain ownership of the intellectual property rights in any such content that you create and share on Facebook and other Meta Products you use.",User Content Rights Risk
31,"You grant us a legal license to use your content solely for the purposes of providing and improving our Products and services as described in Section 1 above.",User Content Rights Risk
32,"Account deletion does not automatically delete content that you post as an admin of a page or content that you create collectively with other users, such as photos in Shared Albums.",User Content Rights Risk
33,"It may take up to 90 days to delete content after we begin the account deletion process or receive a content deletion request.",User Content Rights Risk
34,"After the content is deleted, it may take us up to another 90 days to remove it from backups and disaster recovery systems.",User Content Rights Risk
35,"This license will continue to apply until that content is deleted in cases where your content has been used by others in accordance with this license and they have not deleted it.",User Content Rights Risk
36,"If you use content covered by intellectual property rights that we have and make available in our Products, we retain all rights to that content (but not yours).",User Content Rights Risk
37,"You must obtain our written permission to modify, translate, create derivative works of, decompile, or reverse engineer our products or their components.",User Content Rights Risk
38,"You must obtain our written permission (or permission under an open source license) to attempt to extract source code from us, unless an exception or limitation applies under applicable law.",User Content Rights Risk
39,"If we learn of content or conduct that violates safety or legal standards, we may take appropriate action based on our assessment, including notifying you, offering help, removing content, or contacting law enforcement.",Rule Usage Enforcement Risk
40,"We work with independent fact-checkers in many jurisdictions to combat misinformation and may add context notices to content they have rated.",Rule Usage Enforcement Risk
41,"We can remove or restrict access to content that is in violation of these provisions.",Rule Usage Enforcement Risk
42,"We also can remove or restrict access to content, features, services, or information if we determine that doing so is reasonably necessary to avoid or mitigate misuse of our services or adverse legal or regulatory impacts to Meta.",Rule Usage Enforcement Risk
43,"If we fail to enforce any of these Terms, it will not be considered a waiver.",Rule Usage Enforcement Risk
44,"We have also developed, and continue to explore, new ways for people to use technology, such as augmented reality and 360 video to create and share more expressive and engaging content on Meta Products.",Future Scope Expansion Risk
45,"If you download or use our software, you give us permission to download and install updates to the software where available.",Future Scope Expansion Risk
46,"Some of the Products we offer are also governed by supplemental terms. If you use any of those Products, supplemental terms will be made available and will become part of our agreement with you.",Future Scope Expansion Risk
47,"In cases of legal retention or technical limitations, this license will continue until the content has been fully deleted.",Irrevocable Rights Risk
48,"All of our rights and obligations under these Terms are freely assignable by us in connection with a merger, acquisition, or sale of assets, or by operation of law or otherwise.",Irrevocable Rights Risk
49,"We may use feedback and other suggestions without any restriction or obligation to compensate you, and we are under no obligation to keep them confidential.",Irrevocable Rights Risk
50,"You must Provide for your account the same name that you use in everyday life.",Account Responsibility Risk
51,"You must Provide accurate information about yourself.",Account Responsibility Risk
52,"You must Create only one account (your own) and use it for personal purposes.",Account Responsibility Risk
53,"You must Not share your password, give access to your Facebook account to others, or transfer your account to anyone else (without our permission).",Account Responsibility Risk
54,"You may not use our Products to do or share anything That you do not own or have the necessary rights to share.",Account Responsibility Risk
55,"You may not upload viruses or malicious code, use the services to send spam, or do anything else that could disable, overburden, interfere with, or impair the proper working, integrity, operation, or appearance of our services, systems, or Products.",Account Responsibility Risk
56,"You may not access or collect data from our Products using automated means (without our prior permission) or attempt to access data you do not have permission to access.",Account Responsibility Risk
57,"You may not proxy, request, or collect Product usernames or passwords, or misappropriate access tokens.",Account Responsibility Risk
58,"You may not misuse any reporting, flagging, dispute, or appeals channel, such as by making fraudulent, duplicative, or groundless reports or appeals.",Account Responsibility Risk
59,"You may not do, or attempt to do, anything to circumvent, bypass, or override any technological measures that Meta uses to control or limit access to our Products or data.",Account Responsibility Risk
60,"We employ dedicated teams around the world and work with external service providers, partners and other relevant entities to detect potential misuse of our Products.",Third Party Dependency Risk
61,"In some cases, the Oversight Board may review our decisions, subject to its terms and bylaws.",Third Party Dependency Risk
62,"We do not control or direct what people and others do or say.",Third Party Dependency Risk
63,"These Terms do not confer any third-party beneficiary rights.",Third Party Dependency Risk
64,"Content will not be deleted within 90 days of the account deletion or content deletion process beginning where deletion within 90 days is not possible due to technical limitations of our systems.",Legal Remedy Limitation Risk
65,"Content will be retained for no longer than is necessary for the purposes of identifying illegal activity, protecting safety and security, or complying with legal obligations.",Legal Remedy Limitation Risk
66,"If you delete or we disable your account, these Terms shall terminate as an agreement between you and us, except for provisions (3, 4.2-4.5), which will remain in place.",Legal Remedy Limitation Risk
67,"If any portion of these Terms is found to be unenforceable, the unenforceable portion will be deemed amended to the minimum extent necessary to make it enforceable; if it can’t be made enforceable, then it will be severed and the remaining portion will remain in full force.",Legal Remedy Limitation Risk
68,"Any amendment to or waiver of these Terms must be made in writing and signed by us.",Legal Remedy Limitation Risk
69,"If you are a consumer, or where required by applicable law, the laws of the country in which you reside will apply to any claim, and you may resolve your claim in any competent court in that country.",Jurisdiction Risk
70,"In all other cases, you and Meta agree that any such claim, cause of action or dispute must be resolved exclusively in the U.S. District Court for the Northern District of California or a state court located in San Mateo County.",Jurisdiction Risk
71,"You agree that the laws of the State of California will govern these Terms and any claim, cause of action, or dispute without regard to conflict of law provisions.",Jurisdiction Risk
72,"Without prejudice to the foregoing, you agree that, in its sole discretion, Meta may bring any claim, cause of action, or dispute we have against you in any competent court in the country in which you reside that has jurisdiction over the claim.",Jurisdiction Risk
73,"We may need to update these Terms from time to time to accurately reflect our services and practices, to promote a safe and secure experience, and/or to comply with applicable law.",Policy Change Risk
74,"We will only make any changes if the provisions are no longer appropriate or if they are incomplete, and only if the changes are reasonable and take due account of your interests or if required for safety/legal purposes.",Policy Change Risk
75,"We will notify you at least 30 days before we make changes to these Terms and give you an opportunity to review them before they go into effect, unless changes are required by law.",Policy Change Risk
76,"Once any updated Terms are in effect, you will be bound by them if you continue to access or use our Products.",Policy Change Risk
77,"We may change the username for your account in certain circumstances (for example, if someone else claims the username and it appears unrelated to the name you use in everyday life).",Change of Service Risk
78,"If you do not agree to our updated Terms, or wish to terminate your agreement to this contract, you can delete your account at any time and you must also stop accessing, or using Facebook and the other Meta Products.",Change of Service Risk
79,"While the deletion process for content is being undertaken, the content is no longer visible to other users.",Access Restriction Risk
80,"You cannot use Facebook if you are under 13 years old or a convicted sex offender.",Access Restriction Risk
81,"You cannot use Facebook if You are prohibited from receiving our products, services, or software under applicable laws.",Access Restriction Risk
82,"If we remove content that you have shared in violation of the Community Standards, we’ll let you know and explain any options you have to request another review, unless doing so may expose us to legal liability or is technically restricted.",Access Restriction Risk
83,"If we determine, in our discretion, that you have clearly, seriously or repeatedly breached our Terms or Policies, we may suspend or permanently disable your access and delete your account.",Account Termination Risk
84,"We may also disable or delete your account if you repeatedly infringe other people’s intellectual property rights or where we are required to do so for legal reasons.",Account Termination Risk
85,"We may disable or delete your account if after registration your account is not confirmed, your account is unused and remains inactive for an extended period of time, or if we detect unauthorized use.",Account Termination Risk
86,"If we disable your account for a violation of our Terms or Policies, you agree not to create another account without our permission.",Account Termination Risk
87,"Receiving permission to create a new account is provided at our sole discretion.",Account Termination Risk
